Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,Common.Name,Species.Code,Confidence,Begin.Path,File.Offset..s.,deployment_ID,Location,Site,config,datetime_UTC,datetime_local,latitude,longitude
323,Spectrogram 1,1,3040,3043,0,15000,Ridgway's Rail,ridrai1,0.7017,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_023500.WAV,15,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T02:35:00Z,2025-05-16T02:35:00Z,32.6396792,-117.1111495
325,Spectrogram 1,1,3043,3046,0,15000,Ridgway's Rail,ridrai1,0.7951,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_023500.WAV,18,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T02:35:00Z,2025-05-16T02:35:00Z,32.6396792,-117.1111495
569,Spectrogram 1,1,3917,3920,0,15000,Ridgway's Rail,ridrai1,0.7305,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_025100.WAV,12,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T02:51:00Z,2025-05-16T02:51:00Z,32.6396792,-117.1111495
571,Spectrogram 1,1,3923,3926,0,15000,Ridgway's Rail,ridrai1,0.6282,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_025100.WAV,18,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T02:51:00Z,2025-05-16T02:51:00Z,32.6396792,-117.1111495
573,Spectrogram 1,1,3926,3929,0,15000,Ridgway's Rail,ridrai1,0.2996,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_025100.WAV,21,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T02:51:00Z,2025-05-16T02:51:00Z,32.6396792,-117.1111495
1157,Spectrogram 1,1,21984,21987,0,15000,Ridgway's Rail,ridrai1,0.8597,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_081900.WAV,39,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T08:19:00Z,2025-05-16T08:19:00Z,32.6396792,-117.1111495
1159,Spectrogram 1,1,21990,21993,0,15000,Ridgway's Rail,ridrai1,0.8647,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_081900.WAV,45,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T08:19:00Z,2025-05-16T08:19:00Z,32.6396792,-117.1111495
1775,Spectrogram 1,1,36251,36254,0,15000,Ridgway's Rail,ridrai1,0.8089,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_123900.WAV,6,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T12:39:00Z,2025-05-16T12:39:00Z,32.6396792,-117.1111495
1777,Spectrogram 1,1,36257,36260,0,15000,Ridgway's Rail,ridrai1,0.6341,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_123900.WAV,12,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T12:39:00Z,2025-05-16T12:39:00Z,32.6396792,-117.1111495
1779,Spectrogram 1,1,36263,36266,0,15000,Ridgway's Rail,ridrai1,0.3855,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_123900.WAV,18,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T12:39:00Z,2025-05-16T12:39:00Z,32.6396792,-117.1111495
1789,Spectrogram 1,1,36312,36315,0,15000,Ridgway's Rail,ridrai1,0.7252,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_124000.WAV,12,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T12:40:00Z,2025-05-16T12:40:00Z,32.6396792,-117.1111495
1791,Spectrogram 1,1,36318,36321,0,15000,Ridgway's Rail,ridrai1,0.744,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250516_124000.WAV,18,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-16T12:40:00Z,2025-05-16T12:40:00Z,32.6396792,-117.1111495
2811,Spectrogram 1,1,43508,43511,0,15000,Ridgway's Rail,ridrai1,0.548,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250517_024100.WAV,3,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-17T02:41:00Z,2025-05-17T02:41:00Z,32.6396792,-117.1111495
2813,Spectrogram 1,1,43514,43517,0,15000,Ridgway's Rail,ridrai1,0.659,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250517_024100.WAV,9,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-17T02:41:00Z,2025-05-17T02:41:00Z,32.6396792,-117.1111495
2815,Spectrogram 1,1,43523,43526,0,15000,Ridgway's Rail,ridrai1,0.3907,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250517_024100.WAV,18,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-17T02:41:00Z,2025-05-17T02:41:00Z,32.6396792,-117.1111495
2817,Spectrogram 1,1,43529,43532,0,15000,Ridgway's Rail,ridrai1,0.3038,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250517_024100.WAV,24,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-17T02:41:00Z,2025-05-17T02:41:00Z,32.6396792,-117.1111495
2839,Spectrogram 1,1,43850,43853,0,15000,Ridgway's Rail,ridrai1,0.7838,D:\Rails\recordings\SPP-1N\SPP-1N_192b_20250515\2453AC0263FA7F76_20250517_024700.WAV,15,SPP-1N_192b_20250515,SPP,1N,192b,2025-05-17T02:47:00Z,2025-05-17T02:47:00Z,32.6396792,-117.1111495
