Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,Common.Name,Species.Code,Confidence,Begin.Path,File.Offset..s.,deployment_ID,Location,Site,config,datetime_UTC,datetime_local,latitude,longitude
254,Spectrogram 1,1,18296,18299,0,15000,Ridgway's Rail,ridrai1,0.7507,C:\Users\Shannon\Documents\audiomoth\Rails\recordings\SGR-01\SGR-01_192b_20250602\24F3190863FA4A89_20250603_072200.WAV,36,SGR-01_192b_20250602,SGR,01,192b,2025-06-03T07:22:00Z,2025-06-03T07:22:00Z,32.6391897,-117.1122522
255,Spectrogram 1,1,18299,18302,0,15000,Ridgway's Rail,ridrai1,0.4202,C:\Users\Shannon\Documents\audiomoth\Rails\recordings\SGR-01\SGR-01_192b_20250602\24F3190863FA4A89_20250603_072200.WAV,39,SGR-01_192b_20250602,SGR,01,192b,2025-06-03T07:22:00Z,2025-06-03T07:22:00Z,32.6391897,-117.1122522
1586,Spectrogram 1,1,75594,75597,0,15000,Ridgway's Rail,ridrai1,0.3099,C:\Users\Shannon\Documents\audiomoth\Rails\recordings\SGR-01\SGR-01_192b_20250602\24F3190863FA4A89_20250604_125400.WAV,30,SGR-01_192b_20250602,SGR,01,192b,2025-06-04T12:54:00Z,2025-06-04T12:54:00Z,32.6391897,-117.1122522
1589,Spectrogram 1,1,75628,75631,0,15000,Ridgway's Rail,ridrai1,0.3035,C:\Users\Shannon\Documents\audiomoth\Rails\recordings\SGR-01\SGR-01_192b_20250602\24F3190863FA4A89_20250604_125500.WAV,9,SGR-01_192b_20250602,SGR,01,192b,2025-06-04T12:55:00Z,2025-06-04T12:55:00Z,32.6391897,-117.1122522
1608,Spectrogram 1,1,75906,75909,0,15000,Ridgway's Rail,ridrai1,0.7695,C:\Users\Shannon\Documents\audiomoth\Rails\recordings\SGR-01\SGR-01_192b_20250602\24F3190863FA4A89_20250604_130000.WAV,12,SGR-01_192b_20250602,SGR,01,192b,2025-06-04T13:00:00Z,2025-06-04T13:00:00Z,32.6391897,-117.1122522
2551,Spectrogram 1,1,117310,117313,0,15000,Ridgway's Rail,ridrai1,0.3163,C:\Users\Shannon\Documents\audiomoth\Rails\recordings\SGR-01\SGR-01_192b_20250602\24F3190863FA4A89_20250606_015800.WAV,3,SGR-01_192b_20250602,SGR,01,192b,2025-06-06T01:58:00Z,2025-06-06T01:58:00Z,32.6391897,-117.1122522
686,Spectrogram 1,1,26799,26802,0,15000,Ridgway's Rail,ridrai1,0.3437,D:\Rails\recordings\SGR-01\SGR-01_48c_20250602\2453AC0263FA48D8_20250603_072200.WAV,39,SGR-01_48c_20250602,SGR,01,48c,2025-06-03T07:22:00Z,2025-06-03T07:22:00Z,32.6391897,-117.1122522
4621,Spectrogram 1,1,124051,124054,0,15000,Ridgway's Rail,ridrai1,0.2636,D:\Rails\recordings\SGR-01\SGR-01_48c_20250602\2453AC0263FA48D8_20250604_125500.WAV,9,SGR-01_48c_20250602,SGR,01,48c,2025-06-04T12:55:00Z,2025-06-04T12:55:00Z,32.6391897,-117.1122522
4637,Spectrogram 1,1,124326,124329,0,15000,Ridgway's Rail,ridrai1,0.4817,D:\Rails\recordings\SGR-01\SGR-01_48c_20250602\2453AC0263FA48D8_20250604_130000.WAV,9,SGR-01_48c_20250602,SGR,01,48c,2025-06-04T13:00:00Z,2025-06-04T13:00:00Z,32.6391897,-117.1122522
4638,Spectrogram 1,1,124329,124332,0,15000,Ridgway's Rail,ridrai1,0.3167,D:\Rails\recordings\SGR-01\SGR-01_48c_20250602\2453AC0263FA48D8_20250604_130000.WAV,12,SGR-01_48c_20250602,SGR,01,48c,2025-06-04T13:00:00Z,2025-06-04T13:00:00Z,32.6391897,-117.1122522
1721,Spectrogram 1,1,23899,23902,0,15000,Ridgway's Rail,ridrai1,0.2813,C:\Users\Shannon\Documents\audiomoth\Rails\recordings\SGR-01\SGR-01_48s+s_20250602\242A260463FA803B_20250604_125400.WAV,30,SGR-01_48s+s_20250602,SGR,01,48s+s,2025-06-04T12:54:00Z,2025-06-04T12:54:00Z,32.6391897,-117.1122522
1847,Spectrogram 1,1,25894,25897,0,15000,Ridgway's Rail,ridrai1,0.3249,C:\Users\Shannon\Documents\audiomoth\Rails\recordings\SGR-01\SGR-01_48s+s_20250602\242A260463FA803B_20250604_133000.WAV,45,SGR-01_48s+s_20250602,SGR,01,48s+s,2025-06-04T13:30:00Z,2025-06-04T13:30:00Z,32.6391897,-117.1122522
